"Kod";"Nazwa";"ogółem;ogółem;2020;[zł]";
1419000;"Powiat płocki";2494;
1420000;"Powiat płoński";3808;
1421000;"Powiat pruszkowski";5882;
1422000;"Powiat przasnyski";3441;
1423000;"Powiat przysuski";2927;
1424000;"Powiat pułtuski";3343;
1425000;"Powiat radomski";2627;
1426000;"Powiat siedlecki";2914;
1427000;"Powiat sierpecki";3407;
1428000;"Powiat sochaczewski";4194;
1429000;"Powiat sokołowski";3777;
1430000;"Powiat szydłowiecki";2564;
1432000;"Powiat warszawski zachodni";5338;
1433000;"Powiat węgrowski";3673;
1434000;"Powiat wołomiński";5249;
1435000;"Powiat wyszkowski";4641;
1436000;"Powiat zwoleński";2198;
1437000;"Powiat żuromiński";3295;
1438000;"Powiat żyrardowski";4577;
1461000;"Powiat m.Ostrołęka";4101;
1462000;"Powiat m.Płock";4326;
1463000;"Powiat m.Radom";4402;
1464000;"Powiat m.Siedlce";5121;
1465000;"Powiat m. st. Warszawa";9901;
1600000;"OPOLSKIE";3828;
1601000;"Powiat brzeski";3125;
1602000;"Powiat głubczycki";2654;
1603000;"Powiat kędzierzyńsko-kozielski";2549;
1604000;"Powiat kluczborski";2815;
1605000;"Powiat krapkowicki";2773;
1606000;"Powiat namysłowski";3257;
1607000;"Powiat nyski";2854;
1608000;"Powiat oleski";2574;
1609000;"Powiat opolski";2761;
1610000;"Powiat prudnicki";1914;
1611000;"Powiat strzelecki";2751;
1661000;"Powiat m.Opole";5346;
1800000;"PODKARPACKIE";4799;
1801000;"Powiat bieszczadzki";2918;
1802000;"Powiat brzozowski";3089;
1803000;"Powiat dębicki";3989;
1804000;"Powiat jarosławski";3489;
1805000;"Powiat jasielski";2642;
1806000;"Powiat kolbuszowski";4111;
1807000;"Powiat krośnieński";2092;
1808000;"Powiat leżajski";2300;
1809000;"Powiat lubaczowski";2345;
1810000;"Powiat łańcucki";4305;
1811000;"Powiat mielecki";4494;
1812000;"Powiat niżański";3005;
1813000;"Powiat przemyski";2547;
1814000;"Powiat przeworski";2884;
1815000;"Powiat ropczycko-sędziszowski";3826;
1816000;"Powiat rzeszowski";4454;
1817000;"Powiat sanocki";3548;
1818000;"Powiat stalowowolski";4200;
1819000;"Powiat strzyżowski";3419;
1820000;"Powiat tarnobrzeski";3171;
1821000;"Powiat leski";3014;
1861000;"Powiat m.Krosno";3876;
1862000;"Powiat m.Przemyśl";3517;
1863000;"Powiat m.Rzeszów";5532;
1864000;"Powiat m.Tarnobrzeg";3474;
2000000;"PODLASKIE";5126;
2001000;"Powiat augustowski";4665;
2002000;"Powiat białostocki";4143;
2003000;"Powiat bielski";3888;
2004000;"Powiat grajewski";3416;
2005000;"Powiat hajnowski";5164;
2006000;"Powiat kolneński";2787;
2007000;"Powiat łomżyński";2966;
2008000;"Powiat moniecki";3785;
2009000;"Powiat sejneński";2916;
2010000;"Powiat siemiatycki";2500;
2011000;"Powiat sokólski";2683;
2012000;"Powiat suwalski";1954;
2013000;"Powiat wysokomazowiecki";3803;
2014000;"Powiat zambrowski";3851;
2061000;"Powiat m.Białystok";5764;
2062000;"Powiat m.Łomża";4648;
2063000;"Powiat m.Suwałki";4483;
2200000;"POMORSKIE";6751;
2201000;"Powiat bytowski";3504;
2202000;"Powiat chojnicki";3937;
2203000;"Powiat człuchowski";2733;
2204000;"Powiat gdański";5523;
2205000;"Powiat kartuski";4591;
2206000;"Powiat kościerski";4445;
2207000;"Powiat kwidzyński";3590;
2208000;"Powiat lęborski";3717;
2209000;"Powiat malborski";3904;
2210000;"Powiat nowodworski";5929;
2211000;"Powiat pucki";6810;
2212000;"Powiat słupski";4892;
2213000;"Powiat starogardzki";4107;
2214000;"Powiat tczewski";4702;
2215000;"Powiat wejherowski";4906;
2216000;"Powiat sztumski";2246;
2261000;"Powiat m.Gdańsk";8403;
2262000;"Powiat m.Gdynia";8192;
2263000;"Powiat m.Słupsk";3921;
2264000;"Powiat m.Sopot";12250;
2400000;"ŚLĄSKIE";3988;
2401000;"Powiat będziński";3509;
2402000;"Powiat bielski";4642;
2403000;"Powiat cieszyński";4244;
2404000;"Powiat częstochowski";2975;
2405000;"Powiat gliwicki";3436;
2406000;"Powiat kłobucki";3569;
2407000;"Powiat lubliniecki";3073;
2408000;"Powiat mikołowski";4071;
2409000;"Powiat myszkowski";2774;
2410000;"Powiat pszczyński";3350;
2411000;"Powiat raciborski";2982;
2412000;"Powiat rybnicki";3017;
2413000;"Powiat tarnogórski";3649;
2414000;"Powiat bieruńsko-lędziński";3764;
2415000;"Powiat wodzisławski";2708;
2416000;"Powiat zawierciański";2847;
2417000;"Powiat żywiecki";3267;
2461000;"Powiat m.Bielsko-Biała";4813;
2462000;"Powiat m.Bytom";2536;
2463000;"Powiat m.Chorzów";3862;
2464000;"Powiat m.Częstochowa";4601;
2465000;"Powiat m.Dąbrowa Górnicza";3978;
2466000;"Powiat m.Gliwice";4613;
2467000;"Powiat m.Jastrzębie-Zdrój";2983;
2468000;"Powiat m.Jaworzno";4043;
2469000;"Powiat m.Katowice";5324;
